,index,hash_name,score,first_session
0,0,226205218456556939102851269268880970698.y4m,74,True
1,1,285677636747373692343308674392350758147.y4m,40,True
2,2,57433606348005250144896946322320404524.y4m,31,True
3,3,316421848538543551244401217423502782549.y4m,37,True
4,4,99577838186224644440879803783544404619.y4m,48,True
5,5,164353097606155341910272489987490432082.y4m,78,True
6,6,299662475271944158281984285568655708467.y4m,68,True
7,7,268888755057882860285585366966172372175.y4m,81,True
8,8,159854258954277750747843720971738004902.y4m,78,True
9,9,329845916420285742641012096296583286187.y4m,76,True
10,10,172359166573154116825621262564687450970.y4m,50,True
11,11,283393341324654574138358164788476382601.y4m,66,True
12,12,153122635404938372986611499467396150311.y4m,44,True
13,13,49373582159152781312095355995878979527.y4m,65,True
14,14,326822782165378259600998739469423003465.y4m,59,True
15,15,265379179246747225669257497210443591509.y4m,20,True
16,16,226993337888800299456001128481261747047.y4m,75,True
17,17,235954645322586004792404780745208904059.y4m,73,True
18,18,52399724487445823113488760455157739106.y4m,57,True
19,19,326800244460615648150063527367007190681.y4m,48,True
20,20,95507184578330590976254988617279445811.y4m,64,True
21,21,245250478931332179768400771354466926740.y4m,63,True
22,22,32570057079454123683852288893212585412.y4m,55,True
23,23,286346309380442293610776387783360447228.y4m,47,True
24,24,280632469681031363205473788875996402966.y4m,54,True
25,25,1971070579676925468356710549856008622.y4m,62,True
26,26,31141265872076466686881991890290647278.y4m,45,True
27,27,201866561069827123994114585968241132024.y4m,24,True
28,28,261049478420819233908795587595306266626.y4m,83,True
29,29,74591859767133558672150486303106546388.y4m,66,True
30,30,27853102044289506601198900179845794718.y4m,61,True
31,31,17308054326001514443505533974343673100.y4m,46,True
32,32,261756029454488287946451919892516562910.y4m,57,True
33,33,97482356872365472049408671682734787382.y4m,49,True
34,34,250320333012911819289754288094257844864.y4m,56,True
35,35,283369622124431245869121408293022316482.y4m,35,True
36,36,12908461547700371100708737235462268102.y4m,27,True
37,37,60289308586512004076565930912461786775.y4m,16,True
38,38,141773281696134469874549028106558148951.y4m,26,True
39,39,42689802812500431607206798841998235665.y4m,79,True
40,40,308746183377883616034568609520839149329.y4m,72,True
41,41,166644478593950235123330157137415190979.y4m,60,True
42,42,31527954446657710796974439455278905040.y4m,74,True
43,43,300814032289060663492700620528529457660.y4m,8,True
44,44,239970017979729634341717849720180559121.y4m,55,True
45,45,265427779286173782819754639876802519101.y4m,50,True
46,46,266929683030206246512916786243776019661.y4m,70,True
47,47,6731509688661805951482771812729594513.y4m,70,True
48,48,317680665261509239083312009899052343986.y4m,69,True
49,49,126895075228937023366908490544587148989.y4m,46,True
50,50,202695625112709065810289439815236570628.y4m,21,True
51,51,58130500991515444445874419506402405088.y4m,24,True
52,52,208298232351072860463657126616977734007.y4m,41,True
53,53,308196629359248880085047306875578324905.y4m,46,True
54,54,72133702727539126997017426650612305710.y4m,37,True
55,55,280508705618619363083131411479892238803.y4m,73,True
56,56,8356206559968305031763179302639131092.y4m,66,True
57,57,257753287600778057182976011092582500179.y4m,41,True
58,58,184819034898039371510406158920851381542.y4m,64,True
59,59,89738792378888521736961131004207163635.y4m,62,True
60,60,60128027764518822228112217191592999907.y4m,60,True
61,61,241724479271545622991198140626793950691.y4m,35,True
62,62,225951196189916445491416389567959652807.y4m,23,True
63,63,187592953499215206746441562317701182531.y4m,69,True
64,64,41135947222332723832185880260095100546.y4m,69,True
65,65,63628500908607951574634535420152304225.y4m,36,True
66,66,133668649716586990484146815994077993464.y4m,7,True
67,67,144694982297043944124674595006710145532.y4m,21,True
68,68,71420449389695707046428942566404383947.y4m,71,True
69,69,282444525081854161880440814325164737688.y4m,93,True
70,70,130800416120709522964526686206701814339.y4m,78,True
71,71,53042610402904320837393790252290806238.y4m,34,True
72,72,177013634999779099703081445311035696530.y4m,44,True
73,73,121933696559397775861951464769410444387.y4m,52,True
74,74,124102068483042899109190238164455919511.y4m,42,True
75,75,85640103444633857969095455132036468639.y4m,61,True
76,76,39017978020608228637870993150143449856.y4m,36,True
77,77,272892226832210409676423650723554056187.y4m,82,True
78,78,264427719001308447113538077212518634660.y4m,66,True
79,79,161310947733441481592565995592703840008.y4m,68,True
80,80,217910609486578276218831644947706306431.y4m,69,True
81,81,272150889073912220399311621617455824814.y4m,73,True
82,82,309282245523915747677199455730137348730.y4m,54,True
83,83,25260707989082124299598423660454776457.y4m,56,True
