,index,hash_name,score,first_session
0,0,74949936593130473536600414452815106161.y4m,62,True
1,1,51209370423804899606254656516064542459.y4m,63,True
2,2,314446422751114344450704256155339077211.y4m,71,True
3,3,289621139200368314878133441430839523888.y4m,75,True
4,4,59826866542521266660681648344521929039.y4m,34,True
5,5,22756615926852600918202878764919745024.y4m,15,True
6,6,136369057540341610380046687470888826682.y4m,17,True
7,7,14160222648687170933262175147340148151.y4m,74,True
8,8,198683734855403583074931209981420506158.y4m,39,True
9,9,30871450333479299574284723986391284338.y4m,14,True
10,10,225213515583324806019026011864516331213.y4m,25,True
11,11,68719954625705459975357308153361862900.y4m,10,True
12,12,942659580661491682106462919845475949.y4m,11,True
13,13,24294184460133728457222896778124184845.y4m,32,True
14,14,87839485779271216445202730536435988378.y4m,37,True
15,15,15303483749774896749156648851173316413.y4m,32,True
16,16,40136406511792161019380691910269715109.y4m,39,True
17,17,23276500442443558336970281467368200646.y4m,12,True
18,18,102961901151714055558089906499044161553.y4m,32,True
19,19,172355521658819397178716342426092474060.y4m,45,True
20,20,225427094768067361070802009878598804974.y4m,41,True
21,21,64603442816668433060679809072867953630.y4m,38,True
22,22,205504687038414888780610526054166306487.y4m,49,True
23,23,44685461523926052336599012933706285674.y4m,41,True
24,24,2546278370679339073432304207069231295.y4m,17,True
25,25,98038341804143720861114565061279000143.y4m,54,True
26,26,157646866748848411926233037978308819510.y4m,55,True
27,27,180488968253226908671588676985229060024.y4m,17,True
28,28,269394577965119527159336015356079815316.y4m,38,True
29,29,328781397848890973058035010279676454301.y4m,11,True
30,30,327576955705520307465324002268076372530.y4m,12,True
31,31,279357609605023735991734093806402113045.y4m,36,True
32,32,53425767210309480360158768521346697999.y4m,37,True
33,33,53755681570883018306138697552094206313.y4m,53,True
34,34,330154503733092515442325802330639081912.y4m,37,True
35,35,29779896476783122462088642806426821774.y4m,56,True
36,36,190365012366979656454132498470780101623.y4m,16,True
37,37,227111706678440166383151078841036217867.y4m,15,True
38,38,175516287637091052506508211159509309754.y4m,10,True
39,39,144332243852213812064864761791596793090.y4m,19,True
40,40,205198153170075647012239825239856920659.y4m,40,True
41,41,199159794812858383570200854462543374589.y4m,47,True
42,42,158513513809330114617651614383551837142.y4m,4,True
43,43,187628254893938318941485686329169295703.y4m,36,True
44,44,136581329074739513809880965865819998730.y4m,43,True
45,45,31283533362578898970155833052471314911.y4m,6,True
46,46,46862943330553935351701573752073738500.y4m,23,True
47,47,182396876626172856267929380833559729943.y4m,39,True
48,48,145945144934659613624443048106293965729.y4m,37,True
49,49,36412715696825456556034122310513222700.y4m,15,True
50,50,216904665138998491298957251831582393621.y4m,43,True
51,51,153050405360166514553631118497039609235.y4m,39,True
52,52,28928312612191911634311332573799046477.y4m,59,True
53,53,96388728961800304753469079739103365315.y4m,52,True
54,54,103165455535877690394915677324461195961.y4m,42,True
55,55,93388130823949073527943177685580389501.y4m,42,True
56,56,173383254095492391426848847987298562087.y4m,4,True
57,57,145096320165159337494636966090133726092.y4m,26,True
58,58,264860083880084459558831705535103710801.y4m,30,True
59,59,266158390159312343292013687589043283619.y4m,16,True
60,60,10848912313746145457494322165184879102.y4m,7,True
61,61,34513643934135180968777283714430297797.y4m,8,True
62,62,21037422858133599444925262503568737949.y4m,7,True
63,63,275027880790554123575969058778519419404.y4m,34,True
64,64,170820093820562667872128549202898160132.y4m,48,True
65,65,170909058572709478032363810119478440457.y4m,40,True
66,66,110754449286876928530812730254689416915.y4m,42,True
67,67,87533564991196349291578225172558697516.y4m,32,True
68,68,220915401319272866437509844227612124124.y4m,28,True
69,69,97028535677237218198132572271966525282.y4m,53,True
70,70,143286315104715233630564064688563658318.y4m,36,True
71,71,157955020978656345674195503432948736688.y4m,35,True
72,72,166875973976945386319763925952773737155.y4m,39,True
73,73,148397064237318904690223128458901838666.y4m,43,True
74,74,130364387205961186520215563221161746397.y4m,68,True
75,75,6698180133964283637712979077977567067.y4m,35,True
76,76,240854237428559118750451235083375759207.y4m,2,True
77,77,143109509021142880329870629974558715392.y4m,46,True
78,78,63953977162454207222596837743115971038.y4m,39,True
79,79,262345249659954795723310616630240544662.y4m,33,True
80,80,50061904933587609697825146968346318102.y4m,67,True
81,81,159005758223266806153377592270409520569.y4m,39,True
82,82,91663853249940482857119318638340360586.y4m,9,True
83,83,14241645553105461707877138042464368956.y4m,11,True
84,84,118762147466851965346223563891193723220.y4m,37,True
85,85,198326974077222852934106071125114001334.y4m,4,True
86,86,252869299450143334494521195995196410820.y4m,77,True
87,87,190432991026130450105648596082514625079.y4m,88,True
88,88,64412298036340975229043205008021598797.y4m,43,True
89,89,111417974468415403101959047871681718842.y4m,35,True
90,90,209272878306189522557280254982726695292.y4m,33,True
91,91,152964180146748287147338417311941244901.y4m,36,True
92,92,93022504624522010840962798373433771525.y4m,13,True
93,93,31625703094719778976666816858557135858.y4m,43,True
94,94,21650453622478035234668358276171026232.y4m,6,True
95,95,237965441458061562311070144630793167422.y4m,13,True
96,96,270385138452297446601630056501741212151.y4m,3,True
97,97,32375940018735669609548967526627801530.y4m,33,True
98,98,163159164372564089090382037350759933307.y4m,14,True
99,99,247529170132131350414658998344021258175.y4m,40,True
100,100,126161495606141669393468689716133775173.y4m,26,True
101,101,300973113287332015333922295998807279335.y4m,32,True
102,102,12748281324069982238315162511145063776.y4m,3,True
103,103,310419446449857416010013339752429725744.y4m,33,True
104,104,325384497482806585140002574908989904074.y4m,16,True
105,105,244260064786322957229281890387860701041.y4m,10,True
106,106,325014589593180075017269915864479573623.y4m,14,True
107,107,42465468271233968638078251063925766701.y4m,40,True
