,index,hash_name,score,first_session
0,0,203066308701770318154697169053971349006.y4m,77,True
1,1,235191081874314538514517825585821101529.y4m,74,True
2,2,60289308586512004076565930912461786775.y4m,11,True
3,3,165527834069344217767252760979563843901.y4m,18,True
4,4,283393341324654574138358164788476382601.y4m,49,True
5,5,303862408844720408554515193409841557692.y4m,25,True
6,6,317680665261509239083312009899052343986.y4m,49,True
7,7,170023101825535844010609458864568352637.y4m,39,True
8,8,275296156261318800693681291462845020168.y4m,37,True
9,9,272238514940912384142109132873105736596.y4m,32,True
10,10,123941600250322845102683402335579800933.y4m,33,True
11,11,194735912003782974717992598010423340143.y4m,40,True
12,12,261083580145235603787610340180568283621.y4m,36,True
13,13,63628500908607951574634535420152304225.y4m,43,True
14,14,28736172559315015355750718825998194526.y4m,52,True
15,15,169497983069054757540231138117798448622.y4m,38,True
16,16,108170187877879222893123254009594309480.y4m,37,True
17,17,9019353361790677302903937332986999079.y4m,42,True
18,18,211525757704198057526679434077730675586.y4m,55,True
19,19,161310947733441481592565995592703840008.y4m,30,True
20,20,130800416120709522964526686206701814339.y4m,59,True
21,21,172955932547895536507307323045012967547.y4m,63,True
22,22,108904015552270253249342755737556264907.y4m,39,True
23,23,177013634999779099703081445311035696530.y4m,24,True
24,24,299493739430263406363132550504185217071.y4m,24,True
25,25,52399724487445823113488760455157739106.y4m,29,True
26,26,48025016965411101062473284270970724247.y4m,40,True
27,27,12908461547700371100708737235462268102.y4m,30,True
28,28,248036618313580692193538890176276087925.y4m,71,True
29,29,71420449389695707046428942566404383947.y4m,42,True
30,30,309707486677349924804954417466118255303.y4m,59,True
31,31,178452697817019991047789131646159387205.y4m,7,True
32,32,6723219633071289674909867754893884097.y4m,30,True
33,33,105085703457398217829753224153338120538.y4m,46,True
34,34,95507184578330590976254988617279445811.y4m,40,True
35,35,172359166573154116825621262564687450970.y4m,46,True
36,36,85930478464107705761146042953103946812.y4m,55,True
37,37,272150889073912220399311621617455824814.y4m,54,True
38,38,190694444818819132247064829153256585530.y4m,16,True
39,39,258096563233282417669339393157535323043.y4m,46,True
40,40,225951196189916445491416389567959652807.y4m,2,True
41,41,170491130495381192389440884615160361554.y4m,23,True
42,42,31141265872076466686881991890290647278.y4m,33,True
43,43,193492008502330349226749546043250141758.y4m,37,True
44,44,184819034898039371510406158920851381542.y4m,29,True
45,45,190926580461640002550118744804951564761.y4m,47,True
46,46,74591859767133558672150486303106546388.y4m,51,True
47,47,114073755376802198762466207623520385810.y4m,36,True
48,48,246898348317528638989984682318922712755.y4m,14,True
49,49,26891497031944478027296317465516291858.y4m,17,True
50,50,101196204915964071922784433875447491679.y4m,45,True
51,51,91768144592950238562953549090096308006.y4m,46,True
52,52,323661166693980667877939208856123080568.y4m,49,True
53,53,6731509688661805951482771812729594513.y4m,70,True
54,54,117697771240502400061461726060670801877.y4m,60,True
55,55,217910609486578276218831644947706306431.y4m,58,True
56,56,36867318683568727150944689773249922946.y4m,8,True
57,57,318798836357918053473838349228362891436.y4m,50,True
58,58,57433606348005250144896946322320404524.y4m,32,True
59,59,72543975909260068947131137222813258813.y4m,40,True
60,60,250086990873923323946744967184887132566.y4m,37,True
61,61,212589998545278739117944214207280008278.y4m,13,True
62,62,237018596533765155417374393867452832390.y4m,33,True
