,index,hash_name,score,first_session
0,0,213885464466177616995985110055734638214.y4m,41,True
1,1,282444525081854161880440814325164737688.y4m,45,True
2,2,241724479271545622991198140626793950691.y4m,44,True
3,3,99577838186224644440879803783544404619.y4m,31,True
4,4,129813955263460260699884633481897421534.y4m,53,True
5,5,286346309380442293610776387783360447228.y4m,21,True
6,6,49373582159152781312095355995878979527.y4m,59,True
7,7,25504726934903097170212314657785698629.y4m,41,True
8,8,317680665261509239083312009899052343986.y4m,40,True
9,9,37252854507256334982895368574900349071.y4m,33,True
10,10,187592953499215206746441562317701182531.y4m,43,True
11,11,29196221807298093796131309331971632436.y4m,41,True
12,12,32570057079454123683852288893212585412.y4m,27,True
13,13,192011648290187543789338698554234596588.y4m,18,True
14,14,41135947222332723832185880260095100546.y4m,43,True
15,15,266929683030206246512916786243776019661.y4m,40,True
16,16,245844877923015536452634350877784068073.y4m,45,True
17,17,130800416120709522964526686206701814339.y4m,46,True
18,18,291136994837994225287945049617098165881.y4m,71,True
19,19,71420449389695707046428942566404383947.y4m,31,True
20,20,226993337888800299456001128481261747047.y4m,27,True
21,21,27853102044289506601198900179845794718.y4m,34,True
22,22,42689802812500431607206798841998235665.y4m,42,True
23,23,268888755057882860285585366966172372175.y4m,31,True
24,24,316421848538543551244401217423502782549.y4m,6,True
25,25,250086990873923323946744967184887132566.y4m,6,True
26,26,57433606348005250144896946322320404524.y4m,5,True
27,27,153122635404938372986611499467396150311.y4m,16,True
28,28,159854258954277750747843720971738004902.y4m,26,True
29,29,257753287600778057182976011092582500179.y4m,30,True
30,30,275296156261318800693681291462845020168.y4m,31,True
31,31,221180310861568673052523280753342106579.y4m,49,True
32,32,308746183377883616034568609520839149329.y4m,41,True
33,33,108170187877879222893123254009594309480.y4m,44,True
34,34,89738792378888521736961131004207163635.y4m,33,True
35,35,299662475271944158281984285568655708467.y4m,35,True
36,36,1971070579676925468356710549856008622.y4m,60,True
37,37,272150889073912220399311621617455824814.y4m,38,True
38,38,172955932547895536507307323045012967547.y4m,77,True
39,39,74591859767133558672150486303106546388.y4m,28,True
40,40,303862408844720408554515193409841557692.y4m,5,True
41,41,217910609486578276218831644947706306431.y4m,41,True
42,42,284472523365328988166087111790367290063.y4m,46,True
43,43,184819034898039371510406158920851381542.y4m,31,True
44,44,52399724487445823113488760455157739106.y4m,2,True
45,45,17308054326001514443505533974343673100.y4m,4,True
46,46,300814032289060663492700620528529457660.y4m,1,True
47,47,208298232351072860463657126616977734007.y4m,3,True
48,48,235954645322586004792404780745208904059.y4m,77,True
49,49,325639304771507810999791000276372992108.y4m,26,True
50,50,121933696559397775861951464769410444387.y4m,45,True
51,51,12908461547700371100708737235462268102.y4m,11,True
52,52,272892226832210409676423650723554056187.y4m,42,True
53,53,95507184578330590976254988617279445811.y4m,38,True
54,54,233210832599099104446005406001445117408.y4m,17,True
55,55,126895075228937023366908490544587148989.y4m,11,True
56,56,280632469681031363205473788875996402966.y4m,28,True
57,57,74252760729371506366074349810442990223.y4m,1,True
58,58,59417347579616083958870438285593619489.y4m,1,True
59,59,256869052012058075908935166999904398083.y4m,28,True
60,60,185778862366547915410511859360753071479.y4m,14,True
61,61,93200227589757143495432031934743411433.y4m,61,True
62,62,39017978020608228637870993150143449856.y4m,1,True
63,63,203066308701770318154697169053971349006.y4m,50,True
64,64,161828370780104647382984328184227267803.y4m,36,True
65,65,225951196189916445491416389567959652807.y4m,1,True
66,66,309282245523915747677199455730137348730.y4m,39,True
67,67,181697726342853092821256074451355146014.y4m,37,True
68,68,164353097606155341910272489987490432082.y4m,38,True
69,69,207503194636156770901855031339381463721.y4m,35,True
70,70,226205218456556939102851269268880970698.y4m,49,True
71,71,123941600250322845102683402335579800933.y4m,36,True
72,72,166644478593950235123330157137415190979.y4m,41,True
73,73,261049478420819233908795587595306266626.y4m,64,True
74,74,292229406890047704191906797737136684753.y4m,44,True
75,75,124102068483042899109190238164455919511.y4m,42,True
76,76,67474631451304547093351830283198396501.y4m,11,True
77,77,133668649716586990484146815994077993464.y4m,1,True
78,78,280508705618619363083131411479892238803.y4m,22,True
79,79,283393341324654574138358164788476382601.y4m,32,True
80,80,60289308586512004076565930912461786775.y4m,1,True
81,81,265379179246747225669257497210443591509.y4m,1,True
82,82,141773281696134469874549028106558148951.y4m,25,True
