,video,mos_list,subject_ids,content,codec,fr,res,bitrate
0,USOpen_HEVC_HFR_396p_600K_166,"[26, 1, 35, 57, 41, 58, 35, 21, 38, 50, 35, 45, 46, 33, 44, 32, 16, 20, 58, 30, 67, 43, 60, 40, 42, 11, 50, 38, 68, 56]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,HEVC,HFR,396p,600
1,EPLNight_AVC_HFR_720p_2200K_0,"[58, 74, 56, 77, 74, 27, 31, 51, 93, 88, 95, 67, 74, 87, 68, 95, 63, 75, 64, 89, 98, 61, 49, 57, 90, 65, 14, 85, 81, 99, 79]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLNight_0,AVC,HFR,720p,2200
2,Cricket2_AVC_HFR_540p_1900K_90,"[39, 55, 59, 37, 5, 41, 25, 43, 72, 33, 57, 46, 45, 33, 32, 52, 49, 62, 48, 87, 43, 53, 24, 39, 41, 49, 45, 54, 46]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,AVC,HFR,540p,1900
3,Cricket2_HEVC_HFR_396p_900K_90,"[37, 12, 41, 57, 42, 26, 33, 25, 59, 60, 33, 57, 28, 34, 28, 26, 36, 43, 36, 25, 43, 36, 41, 24, 37, 11, 37, 40, 36, 43]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,HEVC,HFR,396p,900
4,TNFF_HEVC_SFR_396p_900K_144,"[20, 1, 32, 25, 42, 11, 57, 1, 41, 69, 33, 43, 35, 55, 49, 32, 32, 36, 28, 70, 15, 27, 33, 60, 43, 45, 42, 50, 44, 41, 36]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,HEVC,SFR,396p,900
5,Cricket2_AVC_HFR_396p_900K_90,"[35, 46, 21, 43, 26, 32, 36, 19, 56, 29, 49, 23, 32, 34, 41, 17, 34, 41, 60, 31, 57, 36, 75, 43, 27, 39, 24, 38, 20, 64, 50]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,AVC,HFR,396p,900
6,USOpen_AVC_HFR_396p_900K_0,"[56, 7, 26, 39, 30, 49, 30, 33, 63, 41, 50, 64, 62, 49, 73, 31, 38, 32, 48, 32, 74, 38, 46, 28, 37, 29, 61, 34, 47, 61]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,AVC,HFR,396p,900
7,TNFF_HEVC_SFR_720p_2200K_144,"[40, 51, 45, 72, 67, 45, 38, 41, 82, 98, 90, 72, 70, 36, 66, 55, 82, 54, 71, 66, 80, 75, 41, 82, 50, 67, 47, 70, 98, 81]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,HEVC,SFR,720p,2200
8,EPLDay_AVC_HFR_540p_1900K_0,"[43, 41, 66, 47, 32, 51, 41, 71, 52, 60, 73, 77, 18, 59, 38, 42, 49, 60, 51, 73, 62, 55, 58, 37, 13, 50, 70, 74, 77]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_0,AVC,HFR,540p,1900
9,TNFF_HEVC_HFR_540p_1900K_16,"[74, 6, 23, 68, 47, 47, 42, 18, 75, 74, 75, 77, 75, 71, 46, 78, 69, 28, 32, 52, 87, 63, 50, 64, 59, 58, 35, 69, 59, 85, 58]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,HEVC,HFR,540p,1900
