,video,mos,mos_ci95,dmos
0,USOpen_HEVC_HFR_396p_600K_166,39.523343035220456,4.847310232950434,-39.69222336492846
1,EPLNight_AVC_HFR_720p_2200K_0,70.95046772823721,4.684033219828883,-14.982419636175848
2,Cricket2_AVC_HFR_540p_1900K_90,45.80553911179475,5.282862723069536,-18.704771329672433
3,Cricket2_HEVC_HFR_396p_900K_90,36.58050997775756,5.171609550433731,-27.929800463709626
4,TNFF_HEVC_SFR_396p_900K_144,36.980877286205654,4.7957493343619735,-33.4559503603232
5,Cricket2_AVC_HFR_396p_900K_90,38.399360884381416,5.065267331847606,-26.110949557085767
6,USOpen_AVC_HFR_396p_900K_0,44.152302090502715,4.951512985447131,-24.88464640978698
7,TNFF_HEVC_SFR_720p_2200K_144,64.70057634440953,4.898604059054568,-5.736251302119328
8,EPLDay_AVC_HFR_540p_1900K_0,53.016821465815056,4.6935260535431915,-38.506941544981174
9,TNFF_HEVC_HFR_540p_1900K_16,58.50539387131171,4.879446110401572,-24.183949238576318
10,USOpen_HEVC_SFR_540p_1100K_166,58.09980744606982,4.745119983199725,-21.115758954079098
11,USOpen_HEVC_SFR_288p_300K_0,27.183613924670496,5.059731048787098,-41.8533345756192
12,TNFNFL_AVC_SFR_540p_1800K_0,46.77942180133886,4.837689528874133,-25.016260603975006
13,TNFF_HEVC_HFR_540p_1900K_144,55.66717955581902,4.898604059054568,-14.769648090709836
14,USOpen_HEVC_HFR_288p_300K_0,26.656847028154107,4.951512985447131,-42.38010147213559
15,USOpen_AVC_HFR_720p_2200K_166,67.79344295989672,4.745119983199725,-11.422123440252193
16,USOpen_HEVC_SFR_396p_600K_0,41.8932746770407,4.847977067638649,-27.143673823248996
17,TNFF_HEVC_HFR_288p_300K_16,16.70246000921288,5.092052047904291,-65.98688310067514
18,Cricket1_HEVC_HFR_720p_2200K_86,62.91830121661897,5.306634043328453,-1.7355542324251871
19,TNFF_AVC_SFR_396p_800K_16,37.61560198640737,4.9833907792904,-45.07374112348066
20,TNFF_HEVC_HFR_288p_300K_144,12.64469367179732,4.7957493343619735,-57.792133974731534
21,EPLDay_AVC_HFR_540p_1900K_8,57.09485183687289,4.303615345333289,-35.3976848249972
22,Cricket1_AVC_HFR_540p_1300K_86,45.08491000374544,5.306634043328453,-19.568945445298716
23,TNFF_AVC_SFR_720p_2000K_16,56.57481592014778,4.879446110401572,-26.11452718974025
24,USOpen_AVC_SFR_396p_400K_166,32.57030437668274,4.745119983199725,-46.645262023466174
25,Cricket1_HEVC_SFR_540p_1100K_86,50.97820214095825,5.416079997031539,-13.675653308085906
26,TNFF_HEVC_HFR_540p_1100K_16,40.77990337961152,4.9833907792904,-41.90943973027651
27,Cricket2_HEVC_HFR_720p_2200K_90,57.0708562663136,5.065267331847606,-7.439454175153585
28,TNFF_AVC_SFR_288p_200K_144,11.165299035084368,4.898604059054568,-59.27152861144449
29,USOpen_AVC_SFR_396p_800K_0,41.927834539314134,4.847977067638649,-27.109113960975563
30,USOpen_AVC_HFR_396p_900K_166,40.66308703285935,4.954066284611163,-38.552479367289564
31,TNFNFL_HEVC_SFR_720p_2200K_0,57.80817097244438,4.7356244335804325,-13.98751143286949
32,Cricket1_SRC_SRC_SRC_SRC_86,64.65385544904416,5.306634043328453,0.0
33,USOpen_AVC_SFR_540p_1800K_166,60.81741480188583,4.745119983199725,-18.398151598263084
34,USOpen_AVC_HFR_540p_1900K_0,57.82896608458751,4.951512985447131,-11.207982415702183
35,EPLDay_SRC_SRC_SRC_SRC_8,92.49253666187009,4.209082128229909,0.0
36,TNFF_AVC_SFR_396p_800K_144,28.734526269852267,4.898604059054568,-41.70230137667659
37,EPLDay_HEVC_HFR_396p_600K_8,27.98766469433629,4.303615345333289,-64.5048719675338
38,TNFNFL_AVC_HFR_720p_2200K_0,49.31588153085329,4.837689528874133,-22.47980087446058
39,TNFF_AVC_HFR_396p_900K_16,36.39439829289534,4.879446110401572,-46.29494481699269
40,TNFF_AVC_HFR_720p_2200K_144,54.95576267280206,5.006082602083011,-15.481064973726795
41,TNFF_AVC_SFR_396p_400K_16,24.879880521285372,4.879446110401572,-57.809462588602656
42,USOpen_SRC_SRC_SRC_SRC_0,69.0369485002897,4.847977067638649,0.0
43,TNFNFL_AVC_HFR_540p_1900K_0,41.183687988323896,4.837689528874133,-30.611994416989972
44,USOpen_AVC_SFR_288p_200K_166,12.326617049772876,4.954066284611163,-66.88894935037604
45,USOpen_AVC_SFR_288p_200K_0,28.32971841785719,4.847977067638649,-40.7072300824325
46,EPLDay_AVC_HFR_540p_1300K_8,44.3253661453615,4.209082128229909,-48.16717051650859
47,EPLDay_AVC_HFR_540p_1300K_0,49.446936659789884,4.491750889836062,-42.076826351006346
48,EPLNight_HEVC_SFR_540p_1900K_0,58.018718425478646,4.684033219828883,-27.914168938934417
49,TNFNFL_SRC_SRC_SRC_SRC_0,71.79568240531387,4.7356244335804325,0.0
50,USOpen_HEVC_SFR_720p_2200K_166,69.24786780638368,4.954066284611163,-9.967698593765235
51,Cricket1_HEVC_HFR_396p_600K_86,36.174354552810186,5.306634043328453,-28.479500896233972
52,Cricket2_HEVC_SFR_396p_900K_90,37.62170141861119,5.065267331847606,-26.888609022855995
53,EPLNight_HEVC_HFR_288p_300K_0,18.27545170853854,4.78541490287127,-67.65743565587452
54,Cricket1_HEVC_SFR_288p_300K_86,20.44502222732014,5.530671288550998,-44.20883322172402
55,EPLNight_AVC_SFR_720p_2000K_0,67.27704191554874,4.891290263737722,-18.655845448864326
56,Cricket2_AVC_SFR_540p_1200K_90,45.84411624457055,5.065267331847606,-18.666194196896633
57,EPLDay_AVC_SFR_540p_1200K_0,43.76347271018033,4.6935260535431915,-47.7602903006159
