,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
0,0,12908461547700371100708737235462268102.y4m,39,True,EPLDay_HEVC_HFR_396p_600K_20.y4m,44.45198
1,1,257753287600778057182976011092582500179.y4m,56,True,TNFNFL_HEVC_HFR_396p_900K_3184.y4m,56.6945
2,2,272892226832210409676423650723554056187.y4m,80,True,USOpen_HEVC_HFR_720p_2200K_12.y4m,73.97805
3,3,245250478931332179768400771354466926740.y4m,52,True,TNFF_AVC_HFR_396p_600K_32.y4m,53.813908
4,4,85640103444633857969095455132036468639.y4m,68,True,USOpen_HEVC_HFR_540p_1100K_12.y4m,65.33627
5,5,25260707989082124299598423660454776457.y4m,54,True,EPLDay_HEVC_HFR_540p_1900K_20.y4m,55.2542
6,6,130800416120709522964526686206701814339.y4m,73,True,USOpen_AVC_HFR_720p_2200K_12.y4m,68.93702
7,7,74252760729371506366074349810442990223.y4m,31,True,EPLDay_AVC_HFR_396p_600K_20.y4m,38.6908
8,8,71420449389695707046428942566404383947.y4m,29,True,Cricket1_AVC_HFR_720p_2200K_198.y4m,37.2505
9,9,300814032289060663492700620528529457660.y4m,1,True,EPLDay_HEVC_HFR_288p_300K_20.y4m,17.086353
10,10,185778862366547915410511859360753071479.y4m,17,True,Cricket1_AVC_SFR_396p_800K_198.y4m,28.608725
11,11,201866561069827123994114585968241132024.y4m,2,True,EPLDay_HEVC_SFR_288p_300K_20.y4m,17.806501
12,12,291136994837994225287945049617098165881.y4m,99,True,TNFF_SRC_SRC_SRC_SRC_32.y4m,87.660866
13,13,39017978020608228637870993150143449856.y4m,3,True,Cricket1_AVC_HFR_288p_300K_198.y4m,18.52665
14,14,325639304771507810999791000276372992108.y4m,34,True,TNFF_HEVC_SFR_288p_300K_32.y4m,40.85124
15,15,67474631451304547093351830283198396501.y4m,14,True,Cricket1_AVC_SFR_396p_400K_198.y4m,26.44828
16,16,53042610402904320837393790252290806238.y4m,6,True,TNFF_AVC_HFR_288p_300K_32.y4m,20.687094
17,17,49373582159152781312095355995878979527.y4m,72,True,USOpen_AVC_SFR_540p_1800K_12.y4m,68.216866
18,18,58130500991515444445874419506402405088.y4m,48,True,TNFF_AVC_HFR_396p_900K_32.y4m,50.933315
19,19,326800244460615648150063527367007190681.y4m,40,True,TNFNFL_HEVC_HFR_396p_600K_3184.y4m,45.17213
20,20,309282245523915747677199455730137348730.y4m,45,True,TNFF_HEVC_HFR_396p_900K_32.y4m,48.77287
21,21,63628500908607951574634535420152304225.y4m,46,True,USOpen_HEVC_SFR_396p_600K_12.y4m,49.493015
22,22,292229406890047704191906797737136684753.y4m,44,True,Cricket1_AVC_SFR_720p_2000K_198.y4m,48.05272
23,23,161310947733441481592565995592703840008.y4m,36,True,EPLDay_AVC_SFR_540p_1200K_20.y4m,42.29154
24,24,37252854507256334982895368574900349071.y4m,31,True,Cricket1_HEVC_SFR_396p_600K_198.y4m,38.6908
25,25,268888755057882860285585366966172372175.y4m,41,True,USOpen_HEVC_HFR_396p_600K_12.y4m,45.892277
26,26,283369622124431245869121408293022316482.y4m,46,True,Cricket1_AVC_SFR_540p_1200K_198.y4m,49.493015
27,27,74591859767133558672150486303106546388.y4m,40,True,TNFNFL_HEVC_SFR_396p_900K_3184.y4m,45.17213
28,28,261756029454488287946451919892516562910.y4m,66,True,EPLDay_HEVC_SFR_720p_2200K_20.y4m,63.89598
29,29,161828370780104647382984328184227267803.y4m,33,True,Cricket1_HEVC_HFR_396p_600K_198.y4m,40.131092
30,30,133668649716586990484146815994077993464.y4m,1,True,EPLDay_AVC_SFR_288p_200K_20.y4m,17.086353
31,31,337126823403821851021822078270733656398.y4m,73,True,TNFF_HEVC_SFR_396p_900K_32.y4m,68.93702
32,32,124102068483042899109190238164455919511.y4m,27,True,EPLDay_AVC_SFR_396p_400K_20.y4m,35.810204
33,33,210763181947047564996341105436487056721.y4m,36,True,Cricket1_AVC_HFR_540p_1300K_198.y4m,42.29154
34,34,202695625112709065810289439815236570628.y4m,13,True,TNFNFL_HEVC_SFR_288p_300K_3184.y4m,25.728128
35,35,164353097606155341910272489987490432082.y4m,58,True,USOpen_HEVC_SFR_540p_1100K_12.y4m,58.134796
36,36,25504726934903097170212314657785698629.y4m,55,True,TNFNFL_HEVC_HFR_540p_1100K_3184.y4m,55.97435
37,37,121933696559397775861951464769410444387.y4m,48,True,USOpen_AVC_SFR_396p_800K_12.y4m,50.933315
38,38,57433606348005250144896946322320404524.y4m,35,True,TNFF_AVC_SFR_396p_400K_32.y4m,41.571384
39,39,194735912003782974717992598010423340143.y4m,61,True,USOpen_AVC_SFR_540p_1200K_12.y4m,60.295242
40,40,27535988334685253918425213234809256555.y4m,38,True,TNFF_HEVC_HFR_288p_300K_32.y4m,43.73183
41,41,226205218456556939102851269268880970698.y4m,49,True,TNFNFL_AVC_SFR_540p_1800K_3184.y4m,51.65346
42,42,166644478593950235123330157137415190979.y4m,41,True,Cricket1_AVC_HFR_540p_1900K_198.y4m,45.892277
43,43,32570057079454123683852288893212585412.y4m,43,True,EPLDay_HEVC_HFR_396p_900K_20.y4m,47.33257
44,44,261049478420819233908795587595306266626.y4m,100,True,USOpen_SRC_SRC_SRC_SRC_12.y4m,88.38101
45,45,89738792378888521736961131004207163635.y4m,42,True,EPLDay_HEVC_HFR_540p_1100K_20.y4m,46.612427
46,46,221180310861568673052523280753342106579.y4m,49,True,Cricket1_HEVC_SFR_720p_2200K_198.y4m,51.65346
47,47,41135947222332723832185880260095100546.y4m,65,True,TNFF_AVC_SFR_540p_1800K_32.y4m,63.175827
48,48,264427719001308447113538077212518634660.y4m,42,True,Cricket1_HEVC_SFR_540p_1900K_198.y4m,46.612427
49,49,93200227589757143495432031934743411433.y4m,68,True,TNFF_HEVC_SFR_540p_1900K_32.y4m,65.33627
50,50,123941600250322845102683402335579800933.y4m,49,True,EPLDay_AVC_HFR_720p_2200K_20.y4m,51.65346
51,51,249438694953055087244425357472283988902.y4m,1,True,TNFNFL_AVC_SFR_288p_200K_3184.y4m,17.086353
52,52,303862408844720408554515193409841557692.y4m,39,True,EPLDay_HEVC_SFR_396p_900K_20.y4m,44.45198
53,53,316421848538543551244401217423502782549.y4m,26,True,TNFNFL_AVC_SFR_396p_400K_3184.y4m,35.090057
54,54,52399724487445823113488760455157739106.y4m,26,True,EPLDay_AVC_HFR_396p_900K_20.y4m,35.090057
55,55,144694982297043944124674595006710145532.y4m,32,True,USOpen_AVC_HFR_288p_300K_12.y4m,39.410946
56,56,299662475271944158281984285568655708467.y4m,36,True,TNFF_HEVC_HFR_396p_600K_32.y4m,42.29154
57,57,266929683030206246512916786243776019661.y4m,72,True,TNFNFL_HEVC_HFR_720p_2200K_3184.y4m,68.216866
58,58,6731509688661805951482771812729594513.y4m,68,True,TNFF_HEVC_HFR_540p_1900K_32.y4m,65.33627
59,59,233210832599099104446005406001445117408.y4m,25,True,USOpen_AVC_SFR_288p_200K_12.y4m,34.369907
60,60,60289308586512004076565930912461786775.y4m,1,True,TNFF_AVC_SFR_288p_200K_32.y4m,17.086353
61,61,265427779286173782819754639876802519101.y4m,74,True,Cricket1_HEVC_HFR_720p_2200K_198.y4m,69.657166
62,62,208298232351072860463657126616977734007.y4m,39,True,TNFNFL_AVC_HFR_396p_600K_3184.y4m,44.45198
63,63,285677636747373692343308674392350758147.y4m,36,True,Cricket1_HEVC_SFR_288p_300K_198.y4m,42.29154
64,64,284472523365328988166087111790367290063.y4m,73,True,USOpen_AVC_HFR_540p_1900K_12.y4m,68.93702
65,65,275296156261318800693681291462845020168.y4m,49,True,TNFF_HEVC_SFR_396p_600K_32.y4m,51.65346
66,66,8356206559968305031763179302639131092.y4m,76,True,Cricket1_SRC_SRC_SRC_SRC_198.y4m,71.097466
67,67,280632469681031363205473788875996402966.y4m,37,True,USOpen_HEVC_SFR_396p_900K_12.y4m,43.011684
