,0,1
0,340026722276332396774761703762271030872.y4m,70
0,165527834069344217767252760979563843901.y4m,50
0,61368025939496198214034687339977167571.y4m,60
0,76761352933300691441008087177512143508.y4m,81
0,275556457547635237495405742092472788306.y4m,75
0,231610366375012691874713575199994469662.y4m,32
0,272150889073912220399311621617455824814.y4m,95
0,303862408844720408554515193409841557692.y4m,89
0,264427719001308447113538077212518634660.y4m,89
0,211351050043463910020868694624888619853.y4m,82
0,226993337888800299456001128481261747047.y4m,99
0,78231252425489565907243248481328701090.y4m,61
0,187592953499215206746441562317701182531.y4m,86
0,248036618313580692193538890176276087925.y4m,91
0,31141265872076466686881991890290647278.y4m,60
0,133668649716586990484146815994077993464.y4m,47
0,164353097606155341910272489987490432082.y4m,75
0,31527954446657710796974439455278905040.y4m,69
0,41135947222332723832185880260095100546.y4m,75
0,141773281696134469874549028106558148951.y4m,73
0,57433606348005250144896946322320404524.y4m,50
0,23659549995700225868515115064401206921.y4m,67
0,237018596533765155417374393867452832390.y4m,68
0,85930478464107705761146042953103946812.y4m,80
0,248248140172616426323697141246792374908.y4m,41
0,193492008502330349226749546043250141758.y4m,64
0,239970017979729634341717849720180559121.y4m,67
0,17308054326001514443505533974343673100.y4m,65
0,172359166573154116825621262564687450970.y4m,68
0,255545995390452778961400520067376400583.y4m,61
0,41451778667255070132044847676701603159.y4m,79
0,276678022166238435553797552907532076683.y4m,92
0,26891497031944478027296317465516291858.y4m,34
0,235954645322586004792404780745208904059.y4m,87
0,65117050266773528873607119218256897802.y4m,46
0,284472523365328988166087111790367290063.y4m,72
0,52399724487445823113488760455157739106.y4m,67
0,283393341324654574138358164788476382601.y4m,67
0,178452697817019991047789131646159387205.y4m,12
0,329845916420285742641012096296583286187.y4m,65
0,92578716813608368722884080601757004768.y4m,57
0,169497983069054757540231138117798448622.y4m,69
0,219335159056670366472834452223384928007.y4m,22
0,257597759203114086977775990846111315771.y4m,8
0,258405765020793278311747648918975111890.y4m,50
0,209417150962200272839462990033318794432.y4m,57
0,185565650687160261286899273529780990773.y4m,51
0,170023101825535844010609458864568352637.y4m,94
0,12908461547700371100708737235462268102.y4m,70
0,166644478593950235123330157137415190979.y4m,90
0,245844877923015536452634350877784068073.y4m,89
0,10882718144881516404176338686083748806.y4m,89
0,154455728914901319439087792932191914788.y4m,91
0,6942628265241378274172314879636168117.y4m,34
0,9019353361790677302903937332986999079.y4m,83
0,249438694953055087244425357472283988902.y4m,5
0,228406414350777349095338461416442003442.y4m,86
0,202695625112709065810289439815236570628.y4m,42
0,217910609486578276218831644947706306431.y4m,84
0,101196204915964071922784433875447491679.y4m,88
0,329999346872453461938861127764128778651.y4m,92
0,188055554328567653615421965465633029504.y4m,88
0,72133702727539126997017426650612305710.y4m,83
0,50973151633044813746357131485096465776.y4m,70
0,98015317208129351744487530895368028390.y4m,60
0,124102068483042899109190238164455919511.y4m,57
0,55909488325974615185982842610816515018.y4m,94
0,49785908149879065542090455593359749471.y4m,74
0,306078191522761828297667410349948285689.y4m,7
0,194136218489901045170903368424932970981.y4m,37
0,156698666888511003440788966437867556101.y4m,98
0,318798836357918053473838349228362891436.y4m,82
0,90022460500598271166737152492278633189.y4m,4
0,88199494096962229054355647256348939289.y4m,52
0,105085703457398217829753224153338120538.y4m,56
0,77223325084090412135552670885728579147.y4m,51
0,8356206559968305031763179302639131092.y4m,97
0,127033911159771469772276995270936818738.y4m,45
0,245250478931332179768400771354466926740.y4m,74
0,63628500908607951574634535420152304225.y4m,71
0,27535988334685253918425213234809256555.y4m,66
0,57697821904568594972768384692595722309.y4m,68
0,215070430441444421009887826532934880298.y4m,68
0,335291386238585523740024880683613048443.y4m,79
0,316421848538543551244401217423502782549.y4m,59
0,142782360389732345319226129646959020209.y4m,81
0,50468159113536921636896846476755142519.y4m,68
0,201866561069827123994114585968241132024.y4m,17
0,261083580145235603787610340180568283621.y4m,60
0,26461800895814734020424458427199823706.y4m,99
0,326800244460615648150063527367007190681.y4m,62
0,261756029454488287946451919892516562910.y4m,90
0,194735912003782974717992598010423340143.y4m,74
0,309707486677349924804954417466118255303.y4m,97
0,7377117431094833779940626658373982543.y4m,69
0,92578977224774544731272421888171566519.y4m,66
0,144694982297043944124674595006710145532.y4m,50
0,325639304771507810999791000276372992108.y4m,57
0,241724479271545622991198140626793950691.y4m,60
0,129427922878988505393669162111893099170.y4m,63
0,2250682035134305216097701981953866298.y4m,85
0,177013634999779099703081445311035696530.y4m,74
0,280632469681031363205473788875996402966.y4m,56
0,67474631451304547093351830283198396501.y4m,56
0,164334750101193194084052784932236557695.y4m,80
0,114073755376802198762466207623520385810.y4m,60
0,42689802812500431607206798841998235665.y4m,98
0,59417347579616083958870438285593619489.y4m,48
0,32570057079454123683852288893212585412.y4m,70
0,246898348317528638989984682318922712755.y4m,44
0,250086990873923323946744967184887132566.y4m,50
0,71420449389695707046428942566404383947.y4m,69
0,261049478420819233908795587595306266626.y4m,87
0,190926580461640002550118744804951564761.y4m,69
0,299701427476624721249817513597849452613.y4m,73
0,39017978020608228637870993150143449856.y4m,48
0,118520164395870642924642948657506187625.y4m,59
0,286346309380442293610776387783360447228.y4m,58
0,207503194636156770901855031339381463721.y4m,82
0,185778862366547915410511859360753071479.y4m,64
0,54204099018813145640541640758854199351.y4m,39
0,64585218886816228064161851101607755760.y4m,84
0,172955932547895536507307323045012967547.y4m,98
0,258096563233282417669339393157535323043.y4m,91
0,107901760739961487610839586545485536977.y4m,77
